Namn,Dag,Månad,Ingår i namnlängden,Typ
Eila,31,7,Nej,Namn
Elaine,31,7,Nej,Namn
Elena,31,7,Nej,Namn
Eli,31,7,Nej,Namn
Elin,31,7,Ja,Namn
Elina,31,7,Nej,Namn
Eline,31,7,Nej,Namn
Elna,31,7,Nej,Namn
Elny,31,7,Nej,Namn
Helen,31,7,Nej,Namn
Helena,31,7,Ja,Namn
Helene,31,7,Nej,Namn
Helli,31,7,Nej,Namn
Helly,31,7,Nej,Namn
Helna,31,7,Nej,Namn
Ilona,31,7,Nej,Namn
Pelle,1,8,Nej,Namn
Per,1,8,Ja,Namn
Kaja,2,8,Nej,Namn
Kajsa,2,8,Ja,Namn
Karen,2,8,Nej,Namn
Kari,2,8,Nej,Namn
Karin,2,8,Ja,Namn
Karna,2,8,Nej,Namn
Tage,3,8,Ja,Namn
Arent,4,8,Nej,Namn
Arild,4,8,Nej,Namn
Arndt,4,8,Nej,Namn
